Using GATK jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx4G -XX:ParallelGCThreads=10 -jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar HaplotypeCaller -R resources/genome.fasta -I results/recal/NA12878.bwa.sorted.bam -O results/candidate_calls/haplotypecaller/NA12878.bwa.vcf
13:10:04.972 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Aug 13, 2021 1:10:06 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
13:10:06.446 INFO  HaplotypeCaller - ------------------------------------------------------------
13:10:06.446 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.1.4.1
13:10:06.446 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
13:10:06.447 INFO  HaplotypeCaller - Executing as stoecker@cs03 on Linux v5.4.0-66-generic amd64
13:10:06.447 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_152-release-1056-b12
13:10:06.447 INFO  HaplotypeCaller - Start Date/Time: August 13, 2021 1:10:04 PM UTC
13:10:06.447 INFO  HaplotypeCaller - ------------------------------------------------------------
13:10:06.447 INFO  HaplotypeCaller - ------------------------------------------------------------
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Version: 2.21.0
13:10:06.447 INFO  HaplotypeCaller - Picard Version: 2.21.2
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:10:06.447 INFO  HaplotypeCaller - Deflater: IntelDeflater
13:10:06.448 INFO  HaplotypeCaller - Inflater: IntelInflater
13:10:06.448 INFO  HaplotypeCaller - GCS max retries/reopens: 20
13:10:06.448 INFO  HaplotypeCaller - Requester pays: disabled
13:10:06.448 INFO  HaplotypeCaller - Initializing engine
13:10:06.819 INFO  HaplotypeCaller - Done initializing engine
13:10:06.830 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
13:10:06.842 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:10:06.847 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:10:06.879 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:10:06.879 INFO  IntelPairHmm - Available threads: 1
13:10:06.879 INFO  IntelPairHmm - Requested threads: 4
13:10:06.879 WARN  IntelPairHmm - Using 1 available threads, but 4 were requested
13:10:06.879 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:10:06.911 INFO  ProgressMeter - Starting traversal
13:10:06.911 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:28:57.232 INFO  ProgressMeter -           1:66868266             18.8                324910          17247.0
13:29:07.273 INFO  ProgressMeter -           1:67534860             19.0                328280          17272.4
13:29:17.282 INFO  ProgressMeter -           1:68244803             19.2                331770          17304.2
13:29:27.289 INFO  ProgressMeter -           1:68821482             19.3                334780          17310.6
13:29:37.293 INFO  ProgressMeter -           1:69542733             19.5                338350          17345.6
13:29:47.299 INFO  ProgressMeter -           1:70411413             19.7                342240          17396.3
13:29:57.424 INFO  ProgressMeter -           1:70974572             19.8                345150          17395.0
13:30:07.448 INFO  ProgressMeter -           1:71774902             20.0                348910          17437.7
13:30:17.451 INFO  ProgressMeter -           1:72719045             20.2                353200          17506.2
13:30:27.482 INFO  ProgressMeter -           1:73270652             20.3                356070          17503.4
13:30:37.497 INFO  ProgressMeter -           1:74063870             20.5                359740          17539.9
13:30:47.511 INFO  ProgressMeter -           1:74825961             20.7                363460          17578.3
13:30:57.541 INFO  ProgressMeter -           1:75637948             20.8                367300          17621.5
13:31:07.575 INFO  ProgressMeter -           1:76172539             21.0                370260          17622.1
13:31:17.602 INFO  ProgressMeter -           1:76860049             21.2                373690          17645.0
13:31:27.605 INFO  ProgressMeter -           1:77523679             21.3                376950          17660.0
13:31:37.610 INFO  ProgressMeter -           1:78395753             21.5                380990          17710.9
13:31:47.639 INFO  ProgressMeter -           1:79119024             21.7                384560          17739.0
13:31:57.639 INFO  ProgressMeter -           1:79747088             21.8                387910          17757.0
13:32:07.653 INFO  ProgressMeter -           1:80221065             22.0                390590          17744.1
13:32:17.674 INFO  ProgressMeter -           1:80938096             22.2                393990          17763.8
13:32:27.767 INFO  ProgressMeter -           1:81391067             22.3                396390          17737.5
13:32:37.767 INFO  ProgressMeter -           1:82050892             22.5                399720          17754.1
13:32:47.767 INFO  ProgressMeter -           1:82680327             22.7                402910          17764.3
13:32:57.778 INFO  ProgressMeter -           1:83278800             22.8                405920          17766.3
13:33:07.794 INFO  ProgressMeter -           1:84026773             23.0                409480          17792.1
13:33:17.818 INFO  ProgressMeter -           1:84860035             23.2                413430          17834.3
13:33:27.842 INFO  ProgressMeter -           1:85436191             23.3                416410          17834.3
13:33:37.856 INFO  ProgressMeter -           1:86077102             23.5                419700          17847.6
13:33:47.867 INFO  ProgressMeter -           1:86701131             23.7                422710          17849.0
13:33:57.896 INFO  ProgressMeter -           1:87594573             23.8                426710          17891.6
13:34:07.910 INFO  ProgressMeter -           1:88423467             24.0                430640          17930.9
13:34:17.929 INFO  ProgressMeter -           1:89045836             24.2                433870          17940.6
13:34:27.945 INFO  ProgressMeter -           1:89641502             24.4                436970          17945.0
13:34:37.957 INFO  ProgressMeter -           1:90713408             24.5                441580          18010.9
13:34:47.966 INFO  ProgressMeter -           1:91435168             24.7                445100          18031.7
13:34:57.968 INFO  ProgressMeter -           1:91942285             24.9                447810          18019.8
13:35:07.987 INFO  ProgressMeter -           1:92610215             25.0                451120          18031.9
13:35:18.015 INFO  ProgressMeter -           1:93201728             25.2                454250          18036.5
13:35:28.023 INFO  ProgressMeter -           1:94117051             25.4                458360          18079.9
13:35:38.046 INFO  ProgressMeter -           1:94755020             25.5                461570          18087.4
13:35:48.066 INFO  ProgressMeter -           1:95532933             25.7                465270          18113.8
13:35:58.072 INFO  ProgressMeter -           1:96301284             25.9                469050          18143.2
13:36:08.076 INFO  ProgressMeter -           1:97209992             26.0                473210          18186.8
13:36:18.089 INFO  ProgressMeter -           1:98106165             26.2                477270          18225.9
13:36:28.093 INFO  ProgressMeter -           1:98794546             26.4                480690          18240.4
13:36:38.094 INFO  ProgressMeter -           1:99429336             26.5                484010          18250.9
13:36:48.112 INFO  ProgressMeter -          1:100262236             26.7                487740          18276.5
13:36:58.123 INFO  ProgressMeter -          1:101183225             26.9                491820          18314.9
13:37:08.139 INFO  ProgressMeter -          1:101695736             27.0                494580          18303.9
13:37:18.145 INFO  ProgressMeter -          1:102309612             27.2                497680          18305.7
13:37:28.158 INFO  ProgressMeter -          1:102853745             27.4                500590          18300.4
13:37:38.160 INFO  ProgressMeter -          1:103397540             27.5                503510          18295.6
13:37:48.262 INFO  ProgressMeter -          1:104407903             27.7                507900          18342.9
13:37:58.287 INFO  ProgressMeter -          1:104877894             27.9                510500          18326.2
13:38:08.296 INFO  ProgressMeter -          1:105319438             28.0                512970          18305.3
