Using GATK jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar ApplyBQSR -R resources/genome.fasta -I results/dedup/NA12878.bwa.sorted.bam --bqsr-recal-file results/recal/NA12878.bwa.grp -O results/recal/NA12878.bwa.sorted.bam
09:28:44.002 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Aug 13, 2021 9:28:44 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
09:28:44.281 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.4.1
09:28:44.282 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
09:28:44.282 INFO  ApplyBQSR - Executing as stoecker@cs03 on Linux v5.4.0-66-generic amd64
09:28:44.282 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_282-b08
09:28:44.282 INFO  ApplyBQSR - Start Date/Time: August 13, 2021 9:28:43 AM UTC
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.283 INFO  ApplyBQSR - HTSJDK Version: 2.21.0
09:28:44.283 INFO  ApplyBQSR - Picard Version: 2.21.2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:28:44.283 INFO  ApplyBQSR - Deflater: IntelDeflater
09:28:44.283 INFO  ApplyBQSR - Inflater: IntelInflater
09:28:44.283 INFO  ApplyBQSR - GCS max retries/reopens: 20
09:28:44.283 INFO  ApplyBQSR - Requester pays: disabled
09:28:44.283 INFO  ApplyBQSR - Initializing engine
09:28:44.552 INFO  ApplyBQSR - Done initializing engine
09:28:44.571 INFO  ProgressMeter - Starting traversal
09:28:44.572 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
09:41:55.158 INFO  ProgressMeter -          1:184624750             13.2              47935000        3637934.4
09:42:05.169 INFO  ProgressMeter -          1:186949625             13.3              48543000        3638010.1
09:42:15.174 INFO  ProgressMeter -          1:189373928             13.5              49153000        3638259.0
09:42:25.187 INFO  ProgressMeter -          1:191804050             13.7              49765000        3638612.5
09:42:35.193 INFO  ProgressMeter -          1:194071971             13.8              50375000        3638843.7
09:42:45.208 INFO  ProgressMeter -          1:196465700             14.0              50979000        3638606.5
09:42:55.211 INFO  ProgressMeter -          1:198756786             14.2              51584000        3638488.2
09:43:05.227 INFO  ProgressMeter -          1:200994515             14.3              52187000        3638182.5
09:43:15.232 INFO  ProgressMeter -          1:203211377             14.5              52793000        3638136.6
09:43:25.233 INFO  ProgressMeter -          1:205445484             14.7              53399000        3638108.2
09:43:35.246 INFO  ProgressMeter -          1:207634705             14.8              53997000        3637492.5
09:43:45.249 INFO  ProgressMeter -          1:209908969             15.0              54602000        3637401.2
09:43:55.251 INFO  ProgressMeter -          1:212166991             15.2              55211000        3637571.5
09:44:05.257 INFO  ProgressMeter -          1:214372967             15.3              55808000        3636944.2
09:44:15.269 INFO  ProgressMeter -          1:216743333             15.5              56413000        3636822.7
09:44:25.281 INFO  ProgressMeter -          1:219152830             15.7              57023000        3637022.7
09:44:35.292 INFO  ProgressMeter -          1:221479084             15.8              57632000        3637159.2
09:44:45.305 INFO  ProgressMeter -          1:223833213             16.0              58244000        3637472.6
09:44:55.305 INFO  ProgressMeter -          1:226149328             16.2              58878000        3639188.1
09:45:05.317 INFO  ProgressMeter -          1:228385450             16.3              59494000        3639726.6
09:45:15.329 INFO  ProgressMeter -          1:230497044             16.5              60106000        3640004.6
09:45:25.334 INFO  ProgressMeter -          1:232841476             16.7              60719000        3640366.0
09:45:35.340 INFO  ProgressMeter -          1:235061702             16.8              61331000        3640657.4
09:45:45.341 INFO  ProgressMeter -          1:237305636             17.0              61941000        3640846.9
09:45:55.351 INFO  ProgressMeter -          1:239748730             17.2              62557000        3641346.6
09:46:05.365 INFO  ProgressMeter -          1:242159730             17.3              63169000        3641588.7
09:46:15.374 INFO  ProgressMeter -          1:244504351             17.5              63778000        3641675.6
09:46:25.383 INFO  ProgressMeter -          1:246888735             17.7              64411000        3643118.3
09:46:35.387 INFO  ProgressMeter -            10:234108             17.8              65015000        3642926.2
09:46:45.393 INFO  ProgressMeter -           10:2462016             18.0              65614000        3642456.7
09:46:55.410 INFO  ProgressMeter -           10:4825494             18.2              66243000        3643602.4
09:47:05.421 INFO  ProgressMeter -           10:7082212             18.3              66853000        3643718.3
09:47:15.423 INFO  ProgressMeter -           10:9372985             18.5              67453000        3643314.9
09:47:25.424 INFO  ProgressMeter -          10:11630034             18.7              68055000        3643032.3
09:47:35.429 INFO  ProgressMeter -          10:13864311             18.8              68663000        3643063.3
09:47:45.441 INFO  ProgressMeter -          10:16149824             19.0              69273000        3643173.4
09:47:55.442 INFO  ProgressMeter -          10:18513017             19.2              69879000        3643104.8
09:48:05.448 INFO  ProgressMeter -          10:20880554             19.3              70481000        3642818.0
09:48:15.450 INFO  ProgressMeter -          10:23150531             19.5              71084000        3642602.9
09:48:25.451 INFO  ProgressMeter -          10:25487996             19.7              71692000        3642642.5
09:48:35.454 INFO  ProgressMeter -          10:27750454             19.8              72302000        3642779.0
09:48:45.468 INFO  ProgressMeter -          10:30088217             20.0              72917000        3643129.8
09:48:55.482 INFO  ProgressMeter -          10:32372042             20.2              73536000        3643672.9
09:49:05.484 INFO  ProgressMeter -          10:34741587             20.3              74150000        3644000.3
09:49:15.486 INFO  ProgressMeter -          10:37123647             20.5              74764000        3644319.3
09:49:25.498 INFO  ProgressMeter -          10:39189355             20.7              75406000        3645954.7
09:49:35.503 INFO  ProgressMeter -          10:40926576             20.8              76015000        3646007.4
09:49:45.512 INFO  ProgressMeter -          10:41883074             21.0              76661000        3647802.4
09:49:55.521 INFO  ProgressMeter -          10:42440069             21.2              77309000        3649666.5
09:50:05.532 INFO  ProgressMeter -          10:44754830             21.3              77923000        3649906.0
09:50:15.534 INFO  ProgressMeter -          10:47175139             21.5              78536000        3650115.2
09:50:25.547 INFO  ProgressMeter -          10:49676999             21.7              79148000        3650246.9
09:50:35.547 INFO  ProgressMeter -          10:52024127             21.8              79764000        3650595.9
09:50:45.556 INFO  ProgressMeter -          10:54498847             22.0              80387000        3651235.5
09:50:55.568 INFO  ProgressMeter -          10:56939487             22.2              80998000        3651310.7
09:51:05.584 INFO  ProgressMeter -          10:59318623             22.4              81601000        3651018.8
09:51:15.598 INFO  ProgressMeter -          10:61690907             22.5              82217000        3651316.6
09:51:25.602 INFO  ProgressMeter -          10:63956397             22.7              82828000        3651411.1
09:51:35.612 INFO  ProgressMeter -          10:66337378             22.9              83441000        3651578.4
09:51:45.622 INFO  ProgressMeter -          10:68647093             23.0              84051000        3651612.9
